participant,condition,object,trial_num,fragile_survived,peak_force_proxy,peak_depth_mm,time_to_first_contact_s,force_overshoot_proxy,approach_rate_mm_s,n_force_reversals_post_plateau,time_above_90pct_peak_s
P08,lra,deformable,5,,1778.0847,0.8021,1.8866,0.0,1.861386138613862,4.0,0.4005000000000001
P08,lra,fragile,1,1.0,21658.8848,0.9842,2.7583,3512.2285999999986,4.159657320872286,5.0,0.6071
P08,lra,fragile,2,1.0,30099.8398,0.9842,1.7649,16265.332000000002,,5.0,0.8646000000000003
P08,lra,fragile,3,0.0,28327.9551,0.9842,1.2124,9411.9199,,7.0,0.9447000000000001
P08,lra,fragile,4,1.0,7908.2676,0.9842,1.8832,0.0,5.942142298670841,16.0,0.08000000000000007
P08,lra,fragile,5,1.0,11880.6523,0.9842,1.6129,0.0,5.577134986225896,0.0,0.19090000000000007
P08,tactiles,deformable,1,,229.7681,0.1632,2.4882,22.905599999999993,,4.0,0.12929999999999975
P08,tactiles,deformable,2,,1238.4863,0.4355,1.6189,0.0,1.238144867118291,4.0,0.08000000000000007
P08,tactiles,deformable,3,,1696.8624,0.374,1.7493,832.2284999999999,,3.0,0.19199999999999973
P08,tactiles,deformable,4,,806.1799,0.378,1.8756,0.0,0.31964285714285706,2.0,0.35199999999999987
P08,tactiles,deformable,5,,1499.6345,0.3748,1.6157,696.6572999999999,0.41194968553459055,5.0,0.5277000000000005
P08,tactiles,fragile,1,1.0,12597.6816,0.9842,1.5559,4624.7871,9.505477308294232,1.0,0.20850000000000013
P08,tactiles,fragile,2,1.0,12282.6416,0.9842,1.7466,4531.755900000001,4.218734910671172,5.0,0.20900000000000007
P08,tactiles,fragile,3,1.0,12245.8311,0.9842,1.6861,2981.493199999999,4.461218115564806,7.0,0.25649999999999995
P08,tactiles,fragile,4,0.0,29424.7383,0.9842,1.3467,8898.3125,3.4040561622464867,5.0,0.3205
